funding_time_ms,interval_hours,rate
1632729600001,8,0.00010000
1632758400000,8,0.00010000
1632787200000,8,0.00010000
1632816000014,8,0.00010000
1632844800000,8,0.00010000
1632873600000,8,0.00010000
1632902400002,8,0.00010000
1632931200000,8,0.00010000
1632960000000,8,0.00010000
1632988800004,8,0.00010000
1633017600005,8,0.00010000
1633046400012,8,0.00010000
1633075200008,8,0.00010000
1633104000000,8,0.00010000
1633132800000,8,0.00010000
1633161600002,8,0.00010000
1633190400011,8,0.00010000
1633219200019,8,0.00010000
1633248000011,8,0.00010000
1633276800004,8,0.00010000
1633305600004,8,0.00010000
1633334400000,8,0.00010000
1633363200000,8,0.00010000
1633392000007,8,0.00010000
1633420800007,8,0.00022242
1633449600004,8,0.00013296
1633478400002,8,0.00026374
1633507200000,8,0.00011372
1633536000003,8,0.00010000
1633564800007,8,0.00013538
1633593600002,8,0.00036050
1633622400000,8,0.00043016
1633651200011,8,0.00022534
1633680000003,8,0.00037903
1633708800002,8,0.00056696
1633737600006,8,0.00042735
1633766400003,8,0.00029607
1633795200000,8,0.00020274
1633824000000,8,0.00030984
1633852800008,8,0.00040449
1633881600000,8,0.00020377
1633910400002,8,0.00010000
1633939200001,8,0.00018427
1633968000006,8,0.00010000
1633996800008,8,0.00010000
1634025600013,8,0.00010000
1634054400003,8,0.00010000
1634083200003,8,0.00010000
1634112000015,8,0.00010000
1634140800000,8,0.00010000
1634169600011,8,0.00010000
1634198400017,8,0.00038453
1634227200000,8,0.00041652
1634256000005,8,0.00035116
1634284800002,8,0.00048386
1634313600005,8,0.00013483
1634342400009,8,0.00035739
1634371200000,8,0.00046345
1634400000003,8,0.00037863
1634428800001,8,0.00036978
1634457600002,8,0.00014143
1634486400002,8,0.00044943
1634515200006,8,0.00022184
1634544000004,8,0.00015424
1634572800001,8,0.00016492
1634601600002,8,0.00010000
1634630400000,8,0.00017501
1634659200000,8,0.00017774
1634688000017,8,0.00010000
1634716800004,8,0.00010000
1634745600020,8,0.00027535
1634774400000,8,0.00057390
1634803200000,8,0.00087946
1634832000008,8,0.00066623
1634860800005,8,0.00033275
1634889600005,8,0.00041685
1634918400018,8,0.00046266
1634947200005,8,0.00023883
1634976000001,8,0.00034438
1635004800004,8,0.00010000
1635033600006,8,0.00054667
1635062400012,8,0.00071138
1635091200001,8,0.00036133
1635120000012,8,0.00028777
1635148800002,8,0.00050668
1635177600022,8,0.00063040
1635206400005,8,0.00088864
1635235200016,8,0.00099993
1635264000000,8,0.00066406
1635292800004,8,0.00092075
1635321600000,8,0.00088424
1635350400002,8,0.00010000
1635379200002,8,0.00010000
1635408000000,8,0.00010000
1635436800005,8,0.00010000
1635465600000,8,0.00010000
1635494400007,8,0.00010000
1635523200001,8,0.00010000
1635552000000,8,0.00010000
1635580800001,8,0.00047976
1635609600013,8,0.00036891
1635638400008,8,0.00024152
1635667200010,8,0.00058652
1635696000001,8,0.00023581
1635724800009,8,0.00031493
1635753600014,8,0.00017374
1635782400001,8,0.00051712
1635811200000,8,0.00040065
1635840000007,8,0.00068027
1635868800010,8,0.00074910
1635897600019,8,0.00069248
1635926400000,8,0.00086172
1635955200005,8,0.00056648
1635984000006,8,0.00066681
1636012800004,8,0.00062526
1636041600004,8,0.00072908
1636070400000,8,0.00057630
1636099200013,8,0.00057115
1636128000016,8,0.00034737
1636156800010,8,0.00032727
1636185600000,8,0.00050582
1636214400007,8,0.00010536
1636243200013,8,0.00018724
1636272000005,8,0.00047860
1636300800004,8,0.00067869
1636329600001,8,0.00073047
1636358400000,8,0.00060072
1636387200000,8,0.00069321
1636416000000,8,0.00058003
1636444800014,8,0.00067102
1636473600001,8,0.00057597
1636502400000,8,0.00079051
1636531200003,8,0.00068458
1636560000001,8,0.00087571
1636588800008,8,0.00010000
1636617600012,8,0.00010000
1636646400007,8,0.00010000
1636675200000,8,0.00016902
1636704000000,8,0.00010000
1636732800004,8,0.00010000
1636761600000,8,0.00010000
1636790400004,8,0.00010000
1636819200006,8,0.00020281
1636848000010,8,0.00013658
1636876800001,8,0.00027726
1636905600000,8,0.00030030
1636934400008,8,0.00044021
1636963200000,8,0.00061726
1636992000000,8,0.00044973
1637020800000,8,0.00033917
1637049600001,8,0.00010000
1637078400018,8,0.00010000
1637107200005,8,0.00010000
1637136000007,8,0.00010000
1637164800003,8,0.00010000
1637193600017,8,0.00010000
1637222400007,8,0.00010000
1637251200011,8,0.00010000
1637280000000,8,0.00010000
1637308800000,8,0.00010000
1637337600005,8,0.00010000
1637366400012,8,0.00010000
1637395200000,8,0.00010000
1637424000007,8,0.00010000
1637452800000,8,0.00010000
1637481600006,8,0.00010000
1637510400000,8,0.00010000
1637539200004,8,0.00010000
1637568000000,8,0.00010000
1637596800000,8,0.00010000
1637625600004,8,0.00010000
1637654400010,8,0.00010000
1637683200005,8,0.00016819
1637712000001,8,0.00027497
1637740800003,8,0.00041760
1637769600010,8,0.00021767
1637798400000,8,0.00029852
1637827200010,8,0.00042546
1637856000000,8,0.00054058
1637884800000,8,0.00058038
1637913600000,8,0.00034297
1637942400016,8,0.00010000
1637971200005,8,0.00010000
1638000000008,8,0.00010000
1638028800007,8,0.00010000
1638057600018,8,0.00010000
1638086400000,8,0.00010000
1638115200004,8,0.00010000
1638144000002,8,0.00010000
1638172800004,8,0.00010000
1638201600000,8,0.00010000
1638230400000,8,0.00010000
1638259200006,8,0.00010000
1638288000000,8,0.00010000
1638316800000,8,0.00010000
1638345600000,8,0.00010000
1638374400001,8,0.00016696
1638403200000,8,0.00010000
1638432000007,8,0.00010000
1638460800008,8,0.00010000
1638489600004,8,0.00010000
1638518400002,8,0.00010000
1638547200006,8,0.00010000
1638576000006,8,0.00010000
1638604800004,8,0.00001108
1638633600000,8,0.00010000
1638662400003,8,0.00010000
1638691200008,8,0.00010000
1638720000007,8,0.00010000
1638748800009,8,0.00010000
1638777600001,8,0.00010000
1638806400000,8,0.00010000
1638835200018,8,0.00010000
1638864000000,8,0.00010000
1638892800000,8,0.00010000
1638921600000,8,0.00010000
1638950400018,8,0.00010000
1638979200010,8,0.00010000
1639008000010,8,-0.00011130
1639036800000,8,0.00010000
1639065600000,8,0.00010000
1639094400000,8,-0.00007816
1639123200008,8,-0.00031513
1639152000012,8,0.00010000
1639180800009,8,0.00010000
1639209600008,8,0.00010000
1639238400000,8,0.00010000
1639267200001,8,0.00010000
1639296000015,8,0.00010000
1639324800011,8,0.00010000
1639353600006,8,0.00010000
1639382400019,8,0.00010000
1639411200000,8,0.00010000
1639440000004,8,0.00009785
1639468800000,8,0.00010000
1639497600015,8,0.00010000
1639526400000,8,0.00010000
1639555200008,8,0.00010000
1639584000005,8,0.00010000
1639612800006,8,0.00010000
1639641600009,8,0.00010000
1639670400000,8,-0.00011599
1639699200000,8,0.00010000
1639728000005,8,0.00010000
1639756800006,8,0.00010000
1639785600014,8,0.00010000
1639814400012,8,0.00010000
1639843200000,8,0.00010000
1639872000031,8,0.00010000
1639900800000,8,0.00010000
1639929600003,8,0.00010000
1639958400015,8,0.00010000
1639987200007,8,0.00010000
1640016000005,8,0.00010000
1640044800003,8,0.00010000
1640073600012,8,0.00005740
1640102400005,8,0.00010000
1640131200000,8,0.00000595
1640160000001,8,0.00010000
1640188800006,8,0.00010000
1640217600011,8,0.00010000
1640246400000,8,0.00010000
1640275200000,8,0.00010000
1640304000005,8,0.00010000
1640332800000,8,0.00010000
1640361600011,8,0.00010000
1640390400000,8,0.00010000
1640419200001,8,0.00010000
1640448000005,8,0.00010000
1640476800004,8,0.00010000
1640505600002,8,0.00010000
1640534400000,8,0.00010000
1640563200002,8,0.00010000
1640592000005,8,0.00010000
1640620800000,8,0.00010000
1640649600000,8,0.00010000
1640678400012,8,0.00010000
1640707200000,8,0.00010000
1640736000006,8,0.00010000
1640764800003,8,0.00010000
