funding_time_ms,interval_hours,rate
1680710400004,8,0.00010000
1680739200000,8,0.00010000
1680768000011,8,0.00010000
1680796800000,8,0.00010000
1680825600006,8,0.00010000
1680854400005,8,0.00010000
1680883200000,8,0.00010000
1680912000000,8,0.00010000
1680940800014,8,0.00010000
1680969600018,8,0.00010000
1680998400013,8,0.00010000
1681027200024,8,0.00010000
1681056000010,8,0.00010000
1681084800000,8,0.00010000
1681113600010,8,0.00010000
1681142400006,8,0.00010000
1681171200008,8,0.00010000
1681200000007,8,0.00010000
1681228800016,8,0.00010000
1681257600006,8,0.00010000
1681286400008,8,0.00010000
1681315200014,8,0.00010000
1681344000027,8,0.00010000
1681372800010,8,0.00010000
1681401600000,8,0.00010000
1681430400001,8,0.00010000
1681459200008,8,0.00010000
1681488000007,8,0.00010000
1681516800007,8,0.00024968
1681545600007,8,0.00025304
1681574400011,8,0.00023521
1681603200014,8,0.00022567
1681632000007,8,0.00028119
1681660800002,8,0.00010000
1681689600017,8,0.00010000
1681718400006,8,0.00017670
1681747200000,8,0.00010000
1681776000013,8,0.00038317
1681804800017,8,0.00014104
1681833600000,8,0.00010000
1681862400022,8,0.00030020
1681891200014,8,0.00016764
1681920000000,8,0.00010000
1681948800010,8,0.00010000
1681977600012,8,0.00010000
1682006400012,8,0.00010000
1682035200009,8,0.00010000
1682064000009,8,0.00010000
1682092800003,8,0.00010000
1682121600000,8,0.00010000
1682150400000,8,0.00010000
1682179200016,8,0.00010000
1682208000009,8,0.00010000
1682236800020,8,0.00010000
1682265600007,8,0.00010000
1682294400000,8,0.00010000
1682323200008,8,0.00010000
1682352000006,8,0.00010000
1682380800014,8,0.00010000
1682409600009,8,0.00010000
1682438400015,8,0.00010000
1682467200015,8,0.00010000
1682496000013,8,0.00010000
1682524800001,8,0.00010000
1682553600014,8,0.00010000
1682582400008,8,0.00010000
1682611200005,8,0.00010000
1682640000011,8,0.00010000
1682668800007,8,0.00010000
1682697600006,8,0.00010000
1682726400004,8,0.00010000
1682755200016,8,0.00010000
1682784000001,8,0.00010000
1682812800008,8,0.00010000
1682841600000,8,0.00010000
1682870400010,8,0.00010000
1682899200004,8,0.00010000
1682928000008,8,0.00010000
1682956800014,8,0.00010000
1682985600015,8,0.00008992
1683014400018,8,0.00010000
1683043200000,8,0.00010000
1683072000009,8,0.00010000
1683100800003,8,0.00010000
